薿	艹疑ノㄋ丶丶
甭	不用ノㄋ丨丨
檠	芍口ノ一丶丶
擎	芍口ノ一丨丨
警	芍口ノ一一一
荜	艹比一丨丨丨
藁	艹高一丨丶丶
惹	艹丨ㄋ丶丶
薨	萝冖一ノㄋㄋ
瞢	萝目丨ㄋ一一
甍	萝冖一ㄋ丶丶
节	艹ㄗㄋ丨丨丨
菟	艹免丶丶丶丶
苣	艹匚ㄋ一一一
茆	艹卯ㄋ丨丨丨
莜	荷丨ノ一丶丶
蔚	艹尸一一丶丶
蓟	艹鱼丨丨丨丨
藓	艹鱼丶ノ丨丨
蕲	艹单ノノ丨丨
蕺	艹口一丨丶丶
薪	艹立一丨丨丨
薮	艹米ㄋノ丶丶
菽	艹上丨ノ丶丶
菸	艹方ノ丶丶丶
茇	艹ㄋ丶丶丶
孽	艹丶一一一
蒯	艹月ノㄋ丨丨
敬	芍口ノ一丶丶
荆	艹开丨丨丨丨
劐	艹隹ㄋ丶丨丨
颟	艹丙ノ丶丶丶
鹋	艹田ノㄋ一一
鹳	艹吅ノ丨一一
颧	艹吅ノ丨丶丶
葜	艹丰ㄋノ丶丶
蘖	艹丶一丶丶
蔹	艹佥ノ一丶丶
薛	艹丶一丨丨
薜	艹辟ㄋ一丨丨
葫	艹古ノㄋ一一
葑	艹圭一丨丶丶
莰	艹土ノㄋ丶丶
芘	艹比一ㄋㄋㄋ
茚	艹ㄋ丨丨丨
蔬	艹丶一ㄋㄋ
葩	艹白ㄋ丨ㄋㄋ
蔽	艹敝丶ノ丶丶
蕻	艹镸一丨丶丶
薇	艹微ノㄋ丶丶
蘅	艹彳ノㄋ丨丨
荇	艹彳一一丨丨
蓰	艹彳丨一丶丶
薤	艹歹丨一一一
荷	荷可一丨丨丨
葆	荷口一丨丶丶
蓓	荷立丨ㄋ一一
荏	荷壬ノ一一一
花	荷七ノㄋㄋㄋ
苻	荷寸一丨丶丶
莅	荷立丶一一一
茯	荷犬一ノ丶丶
茌	荷士一丨一一
荻	艹犭丶ノ丶丶
获	艹犭一ノ丶丶
莸	艹犭一ノㄋㄋ
蔟	艹族ノ一丶丶
莉	艹禾丨丨丨丨
药	艹纟ノㄋ丶丶
蕴	艹纟丨ㄋ一一
荮	艹纟一丨丶丶
荭	艹纟一丨一一
莼	艹纟一ㄋㄋㄋ
萜	艹巾丨一一一
藉	艹耒一丨一一
藕	艹耒丨ㄋ丶丶
茄	艹加ㄋノ一一
茨	艹次丶一丶丶
菘	艹木ノ丶丶丶
菥	艹木ノノ丨丨
葙	艹相一丨一一
蒴	艹屰ノㄋ一一
薅	艹女一ノノノ
菇	艹女一丨一一
茹	艹女丨ㄋ一一
茱	艹丿一一丶丶
苁	艹从ノ丶丶丶
莳	艹日一丨丶丶
萌	艹日ノㄋ一一
荡	落汤ㄋノノノ
菏	落可一丨丨丨
茫	落亡丶一ㄋㄋ
藻	落口丨ㄋ丶丶
藩	落番ノ丶一一
蒗	落良丶ㄋ丶丶
薄	落甫一丨丶丶
莎	落小ノノノノ
落	落各ノㄋ一一
蒎	落ノㄋ丶丶
蒲	落甫一丨丶丶
茳	落工一丨一一
菠	落皮ㄋノ丶丶
萍	落平一丶丨丨
菹	落且丨ㄋ一一
范	落㔾ㄋㄋㄋㄋ
蒜	艹示一一丶丶
蔌	艹束ノㄋ丶丶
菝	艹扌一ノノノ
苑	艹夗ノㄋㄋㄋ
蔼	艹讠丨ㄋㄋㄋ
蘸	艹酉ノ丨丶丶
蓣	艹予一ノ丶丶
藤	艹月丶ノ丶丶
菔	艹月ㄋ丨丨丨
茈	艹此丨一ㄋㄋ
藐	艹豸ノ丨一一
蒋	艹丬ノㄋ丶丶
菰	艹孑ノノ丶丶
荪	艹孑丨ノ丶丶
芤	艹孑ㄋㄋㄋㄋ
萨	艹阝丶一ノノ
荫	艹阝ノㄋ一一
苛	艹可一丨丨丨
茑	艹鸟ノㄋ一一
芴	艹勿ノㄋノノ
芍	芍丶丶丶丶丶
萄	芍缶ノ一丨丨
葡	芍甫一丨丶丶
苟	芍口丨ㄋ一一
菊	芍米丶ノ丶丶
荀	芍日丨ㄋ一一
苞	芍巳ㄋ一ㄋㄋ
蕤	艹豕ノ一一一
莛	艹壬ㄋ丶丶丶
蘧	艹虍一ノ丶丶
蓬	艹夂一一丨丨
莲	艹车丶ㄋ丶丶
藏	艹戊ㄋ一ㄋㄋ
葳	艹戊一ㄋ一一
蒿	艹高丶一一一
苋	艹见丨ㄋㄋㄋ
蔺	艹门ノ丨一一
茼	艹冂丨ㄋ一一
苘	艹冂丨ㄋ一一
蒇	艹戊丨ㄋ丶丶
蓖	艹囟ノ丶ㄋㄋ
茵	艹因丨ㄋ一一
菌	艹囗ノ一丶丶
茴	艹回丨ㄋ一一
茬	艹在一丨一一
荐	艹在ㄋ丨一一
蘼	艹麻丨一一一
蘑	艹麻一ノ一一
蒺	艹疒ノ一丶丶
蕨	艹厂丶ノ丶丶
苈	艹厂ㄋノノノ
苊	艹厂ㄋㄋㄋㄋ
葬	艹歹ノㄋ丨丨
蔗	艹度丶丶丶丶
若	艹丨ㄋ一一
菡	艹了丶一丨丨
萆	艹卑ノ丨丨丨
芡	艹欠ノㄋ丶丶
蒉	艹贵丨ㄋ丶丶
蕙	艹惠丶ㄋ丶丶
著	艹者一丨一一
蓍	艹耂ノㄋ一一
萋	艹妻ㄋノ一一
萁	艹其一丨丶丶
蔷	艹十丶ノ一一
荛	艹尧一ㄋㄋㄋ
蘩	艹每ノ一丶丶
蔡	艹祭ノㄋ丶丶
蓝	艹监丨ㄋ一一
蒈	艹比ノ丨一一
藜	艹禾ノㄋ丶丶
蕖	落匚一ㄋㄋㄋ
蓼	艹羽ノ丶ノノ
蒽	艹因丶ㄋ丶丶
蓐	艹辰一丨丶丶
葚	艹其ㄋㄋㄋㄋ
蒂	艹帝丨ㄋ丨丨
蓠	艹㐫丨ㄋ丶丶
荒	艹亡ノ丨ㄋㄋ
蒡	艹帝丶一ノノ
葶	艹亮一丨丨丨
蓄	艹玄丶一丶丶
蓊	艹公ㄋ丶一一
芩	艹今ノ丶ㄋㄋ
苓	艹令ノ丶丶丶
蓿	艹宀ノ丨一一
菀	艹宀ノㄋㄋㄋ
蔻	艹宀一一丶丶
蓉	艹宀ノ丶一一
萱	艹㝉丨ㄋ一一
莞	艹宀一一ㄋㄋ
菪	艹宀一ノ一一
苎	艹㝉丶丶一一
菅	艹宀丨ㄋ一一
蕹	艹亠ㄋㄋ一一
茺	艹ノㄋㄋㄋ
芒	艹亡丶一ㄋㄋ
#蓑	艹哀一ノ丶丶
茭	艹交丶一丶丶
荟	艹人一一丶丶
薏	艹音丶ㄋ丶丶
荞	艹夭ノ丨丨丨
蕃	艹番ノ丶一一
荸	艹孛ㄋ丨一一
薹	艹吉丶ㄋ一一
莶	艹佥ノ丶一一
荼	艹余ノ丶丶丶
蔫	艹正一ㄋ丶丶
蒸	艹丞丶丶丶丶
茎	艹轻ㄋ丶一一
芥	艹人ノ丨丨丨
莓	艹每ノ一丶丶
萏	艹ノ丨一一
菁	艹青一一一一
蓁	艹ノ一丶丶
芬	艹分ノ丶ノノ
葵	艹癸ㄋ丶丶丶
苫	艹占丨一一一
苤	艹不一一一一
荩	艹尺丶丶丶丶
葱	艹勿丶丶丶丶
萘	艹大一一丶丶
苕	艹召ㄋノ一一
莨	艹良丶ㄋ丶丶
苄	艹丶一丨丶丶
芸	艹云一一丶丶
莠	艹禾ㄋノノノ
萎	艹禾ㄋノ一一
芟	艹殳ノㄋ丶丶
荨	艹彐一丨丶丶
葺	艹口一丨一一
莒	艹口丨ㄋ一一
莴	艹呙丨ㄋ丶丶
荔	艹力ㄋノノノ
菩	艹立丨ㄋ一一
莘	艹辛丶一丨丨
蒌	艹米ㄋノ一一
蒙	劳一一ノ丶丶
蕞	艹日一丨一一
草	艹早丨ㄋ丨丨
菖	艹日丨ㄋ一一
萃	艹卒丶一丨丨
苦	艹古一丨一一
芰	艹十ㄋ丶丶丶
苔	艹台ㄋ丶一一
薯	萝者一丨一一
葸	艹田丶ㄋ丶丶
菱	艹土ノ丶丶丶
荃	艹人一一一一
荠	艹文ノ丨丨丨
茗	艹夕丨ㄋ一一
蕈	艹覀丨ㄋ丨丨
苍	艹仓ノ丶ㄋㄋ
蕊	艹心丶ㄋ丶丶
萼	艹吅一一ㄋㄋ
芫	艹元ノㄋㄋㄋ
荬	艹买ㄋ丶丶丶
薷	艹雨一ノ丨丨
蕾	艹雨丨ㄋ一一
藿	艹雨ノ丨一一
葛	艹曷丨ㄋㄋㄋ
蔓	艹日丨ㄋ丶丶
菜	艹爫一丨丶丶
荽	艹爫ㄋノ一一
莩	艹爫ㄋ丨一一
蕉	艹隹丶丶丶丶
蒹	艹兼丶ノ丶丶
芭	艹巴ㄋ丨ㄋㄋ
苏	艹力ノ丶丶丶
苯	艹木一一一一
茧	艹虫丨ㄋ丶丶
茁	艹出ㄋ丨丨丨
蔸	艹白ノ丨一一
茸	艹耳一丨一一
芳	艹方丶一ノノ
菲	艹非丨一一一
芙	艹夫一一丶丶
芾	艹一丨ㄋ丨丨
莆	艹甫一丨丶丶
苷	艹甘一丨一一
茛	艹艮ㄋ一丶丶
芎	艹弓ㄋ一ㄋㄋ
芦	艹户丶ㄋノノ
芨	艹及ノㄋ丶丶
芑	艹己ㄋ一ㄋㄋ
荚	艹夹ノ丶丶丶
葭	艹叚ㄋ一丶丶
芹	艹斤ノノ丨丨
艽	艹九ノㄋㄋㄋ
莱	艹夹丨ノ丶丶
茏	艹龙一ノ丶丶
茅	艹矛ㄋ丶ノノ
苠	艹民ㄋ一ㄋㄋ
茉	艹未一一丶丶
苜	艹目丨ㄋ一一
艿	艹乃ㄋノノノ
芮	艹内丨ㄋ丶丶
茶	艹人一丨丶丶
营	劳口丨ㄋ一一
荣	劳木一丨丶丶
苹	艹平一丶丨丨
芊	艹千ノ一丨丨
苴	艹且丨ㄋ一一
莽	艹犬一ノ丨丨
苒	艹冉丨ㄋ一一
芪	艹氏ノㄋㄋㄋ
蔑	萝戊丶丶丶丶
萝	萝夕ノㄋ丶丶
萧	艹肀ノ丶丨丨
苗	艹田丨ㄋ一一
芏	艹土一丨一一
芄	艹九丶丶丶丶
苇	艹韦一一丨丨
莪	艹我ノ一丶丶
芜	艹一一ノㄋㄋ
茂	艹戊一ノ丶丶
茜	艹西一丨一一
芗	艹乡ㄋㄋノノ
芯	艹心丶ㄋ丶丶
薰	艹千丨ㄋ丶丶
芽	艹牙一ㄋノノ
英	艹央丨ㄋ丶丶
荑	艹大ㄋ一ㄋㄋ
艺	艹乙ㄋㄋㄋㄋ
苡	艹以ㄋ丶丶丶
艾	艹乂ノ丶丶丶
芋	艹于一一丨丨
萸	艹臼ノ丶丶丶
苌	艹长ノ一丶丶
芝	艹之丶ㄋ丶丶
芷	艹止丨一一一
董	艹千丨ㄋ一一
萑	艹隹ノ丨一一
葎	艹彳ㄋ一丨丨
蕰	落日丨ㄋ一一
茀	艹弓ノ丨丨丨
蒐	艹鬼ノ丨丶丶
蒨	荷青一一一一
蔀	艹立丨ㄋ丨丨
萩	艹禾丶ノ丶丶
葰	荷夋ㄋ丶丶丶
苾	艹必丶ㄋ丶丶
葴	艹咸一ノ丶丶
蕗	艹ノㄋ一一
菍	艹今丶ㄋ丶丶
菉	艹录ㄋ一丶丶
蓇	艹骨丨ㄋ一一
蓏	艹瓜ノノ丶丶
薳	艹吉ノㄋ丶丶
茝	艹一丨一一
荄	艹亥丶一丶丶
苧	艹宀一丨丨丨
糵	艹丶一丶丶
菂	艹白ノㄋ丶丶
藠	艹白ノ丨一一
芃	艹凡ノㄋ丶丶
莿	艹朿丨丨丨丨
蓂	劳日丶一丶丶
荖	艹耂ノㄋㄋㄋ
藦	艹麻ノ一丨丨
葖	艹穴一ノ丶丶
蒟	艹立ノㄋ一一
茽	荷中丨ㄋ丨丨
蔊	艹火丨ㄋ丨丨
蒻	艹弓丶一一一
蘘	艹襄丶一丶丶
蒄	劳元一丨丶丶
萚	艹扌ㄋ丶丨丨
藨	艹鹿丶丶丶丶
芼	艹毛ノ一ㄋㄋ
荙	艹大丶ㄋ丶丶
莙	艹尹丨ㄋ一一
薁	艹向丶ノ丶丶
藟	艹田丨ㄋ一一
芠	艹文丶一丶丶
茓	艹穴丶丶丶丶
䓨	劳缶ノ一丨丨
䓫	艹大一丨丨丨
髹	髟亻一丨丶丶
鬏	髟禾丶ノ丶丶
髭	髟此丨一ㄋㄋ
鬓	髟宀ノ丨丶丶
鬃	髟宀一一丶丶
鬈	髟ㄋㄋㄋㄋ
髫	髟召ㄋノ一一
髻	髟吉一丨一一
鬟	髟罒丨ㄋ丶丶
髦	髟毛ノ一ㄋㄋ
髯	髟冉丨ㄋ一一
髡	髟兀一ノㄋㄋ
髟	髟一丨ノノ
肆	镸聿ㄋ一丨丨
鬣	髟巛丨ㄋㄋㄋ
鬘	髟日丨ㄋ丶丶
髽	髟从一丨一一
髢	髟也ㄋ丨ㄋㄋ
鬒	髟直ノ丶丶丶
赝	厂亻ノ丨丶丶
愿	厂白丨ノ丶丶
蜃	辰虫丨ㄋ丶丶
唇	辰口丨ㄋ一一
厩	厂一ㄋㄋㄋ
厕	厂贝丨丨丨丨
厮	厂其ノノ丨丨
雁	厂亻ノ丨一一
厨	厂豆一丨丶丶
厢	厂相一丨一一
厥	厂屰ノㄋ丶丶
原	厂白丨ノ丶丶
辰	辰一ノ丶丶
魇	厂犬ノ丨丶丶
厣	厂犬丨ㄋ丨丨
靥	厂犬一ノ一一
厘	厂里丨ㄋ一一
厚	厂日ㄋ丨一一
厦	厂丆丨ㄋ丶丶
厝	厂昔一丨一一
厍	厂车一ㄋ丨丨
历	厂力ㄋノノノ
厌	厂犬一ノ丶丶
仄	厂人ノ丶丶丶
压	厂土丶丶丶丶
厉	厂万一ㄋノノ
厄	厂㔾ㄋㄋㄋㄋ
辱	辰寸一丨丶丶
厂	厂一ノノノ
劂	厂屰ノㄋ丨丨
励	厂万ㄋノノノ
顾	厂㔾一ノノノ
餍	厂犬ノ丶丶丶
厅	厂丁一丨丨丨
黡	厂犬丨ㄋ丶丶
连	车辶丶ㄋ丶丶
錾	车斤ノ丶一一
椠	车斤一丨丶丶
暂	车斤丨ㄋ一一
堑	车斤一丨一一
车	车一ㄋ丨丨
辄	车耳ㄋㄋㄋㄋ
轶	车丿一一丶丶
轲	车可一丨丨丨
轫	车刀丶丶丶丶
轼	车弋一丨一一
辋	车冂丶ノㄋㄋ
辘	车鹿丶一ㄋㄋ
轭	车厂ㄋㄋㄋㄋ
辗	车尸一丨丶丶
软	车欠ノㄋ丶丶
轾	车至一ㄋ一一
辍	车双ㄋ丶丶丶
辖	车宀一一一一
较	车交丶一丶丶
辙	车丨ㄋ丶丶
轿	车夭ノ丨丨丨
辕	车土丨ㄋ丶丶
输	车俞ノ丶丨丨
轻	车轻ㄋ丶一一
辏	车ノ一丶丶
轮	车人ノㄋㄋㄋ
轳	车⺊ㄋ一ノノ
辎	车巛丨ㄋ一一
轺	车召ㄋノ一一
轵	车口ノ丶丶丶
辑	车口一丨一一
辚	车米ノㄋ丨丨
辊	车日一ㄋㄋㄋ
轸	车㐱ノ丶ノノ
轱	车十丨ㄋ一一
辁	车人一一一一
辐	车同丨ㄋ一一
辂	车各ノㄋ一一
辅	车甫一丨丶丶
轩	车干一一丨丨
轷	车乎ノ丶丨丨
斩	车斤ノノ丨丨
轨	车九ノㄋㄋㄋ
轹	车丨ノ丶丶
辆	车丙ノ丶丶丶
轧	车乚ㄋㄋㄋㄋ
轴	车由丨ㄋ一一
转	车专一一丶丶
轰	车双ㄋ丶丶丶
辀	车舟ノノ丶丶
辌	车京丶一丶丶
辒	车日丨ㄋ一一
轪	车大一ノ丶丶
墼	車凵ノㄋ一一
軎	車口丨ㄋ一一
蚩	蚩ㄋ丨丶丶
臣	臣一丨ㄋㄋ
卧	臣卜丨丶丶丶
惩	彳正丶ㄋ丶丶
後	彳幺ノㄋ丶丶
徼	彳白丶一丶丶
徽	微糸ㄋㄋ丶丶
御	彳丨一丨丨
德	彳十丨ㄋ丶丶
彻	彳七ㄋノノノ
徇	彳勹丨ㄋ一一
徊	彳回丨ㄋ一一
循	彳一丨一一
徐	彳余ノ丶丶丶
径	彳轻ㄋ丶一一
徜	彳尚丨丶一一
徨	彳白一一一一
往	彳主丶一一一
役	彳殳ノㄋ丶丶
徵	微壬ノ一丶丶
微	微几ノ一丶丶
衡	彳丨ㄋ丨丨
待	彳土一丨丶丶
徒	彳走一丨丶丶
衢	彳目丨ㄋ丨丨
街	彳圭一一丨丨
衙	彳五丨ㄋ丨丨
行	彳亍一一丨丨
衔	彳钅一一丨丨
征	彳正一丨一一
得	彳旦一丨丶丶
徭	彳爫ノ一丨丨
徙	彳止丨一丶丶
彷	彳方丶一ノノ
徘	彳非丨一一一
很	彳艮ㄋ一丶丶
徕	彳夹丨ノ丶丶
彼	彳皮ㄋノ丶丶
徂	彳且丨ㄋ一一
衍	彳氵一一丨丨
徉	彳羊丶ノ丨丨
律	彳聿ㄋ一丨丨
愆	彳氵一一丶丶
鸻	彳亍ノㄋ一一
衒	彳亠ㄋㄋ丨丨
衎	彳干一一丨丨
衠	彳直ノ丶丨丨
徛	彳大一丨丨丨
虫	虫丨ㄋ丶丶
蚵	虫丁丨ㄋ一一
蠛	虫萝一ノ丶丶
螓	虫ノ一丶丶
蟓	虫象ノㄋ丶丶
螂	虫朗ㄋ丨丨丨
蝴	虫古ノㄋ一一
蟛	虫壴ノノノノ
蛳	虫一丨丨丨
蚍	虫比一ㄋㄋㄋ
蝣	虫族ㄋ丨一一
蚓	虫弓丨丨丨丨
#蜊	虫禾丨丨丨丨
蝌	虫禾丶丶丨丨
蜥	虫木ノノ丨丨
蛛	虫丿一一丶丶
蜘	虫矢丨ㄋ一一
蚴	虫幺ㄋノノノ
蜮	虫戈丨ㄋ一一
蜒	虫丿丨一丶丶
蜓	虫壬ㄋ丶丶丶
蚬	虫见丨ㄋㄋㄋ
蜩	虫冂一丨一一
蛔	虫回丨ㄋ一一
蝈	虫囗一一丶丶
蟾	虫厃ノ丶一一
螈	虫厂ノ丨丶丶
蛎	虫厂一ㄋノノ
螗	虫广ㄋ一一一
蠊	虫广丶ノ丶丶
蝙	虫户丨ㄋ丨丨
蜣	虫羊ノㄋㄋㄋ
蚁	虫丶ノ丶丶丶
蜱	虫卑ノ丨丨丨
螬	虫曹一丨一一
蟪	虫惠丶ㄋ丶丶
蜞	虫其一丨丶丶
蟮	虫羊丶ノ一一
蛲	虫尧一ㄋㄋㄋ
蛭	虫至一ㄋ一一
蠼	虫目丨ㄋ丶丶
螭	虫㐫丨ㄋ丶丶
螃	虫帝丶一ノノ
螳	虫一丨一一
蛉	虫令ノ丶丶丶
蜿	虫宀ノㄋㄋㄋ
蛇	虫宀ノㄋㄋㄋ
虻	虫亡丶一ㄋㄋ
蛟	虫交丶一丶丶
蟠	虫番ノ丶一一
蟋	虫丿丶ノ丶丶
蝓	虫俞ノ丶丨丨
蛤	虫合ノ丶一一
蜍	虫余ノ丶丶丶
蚧	虫人ノ丨丨丨
蝮	虫复ノ一丶丶
虼	虫ㄋㄋㄋㄋ
蛸	虫肖丨丶一一
蜻	虫青一一一一
蝽	虫丨ㄋ一一
蜷	虫ㄋㄋㄋㄋ
蚣	虫公ノ丶丶丶
蝉	虫单丶ノ丨丨
蜕	虫总ノㄋㄋㄋ
蝤	虫酋丶ノ一一
蝗	虫白一一一一
蠓	虫劳一一丶丶
蟆	虫莫一丨丶丶
蠖	虫艹ノ丨丶丶
螨	虫艹一丨丶丶
蟒	虫艹一ノ丨丨
蝰	虫大一丨一一
蛀	虫主丶一一一
蜈	虫口一一丶丶
蝇	虫口丨ㄋㄋㄋ
蜗	虫呙丨ㄋ丶丶
蟑	虫音一丨丨丨
蝼	虫米ㄋノ一一
蟥	虫丨ㄋ丶丶
螟	虫冖丨ㄋ丶丶
蛞	虫舌ノ一一一
蜴	虫日ノㄋノノ
蝻	虫十丨ㄋ丨丨
蛄	虫古一丨一一
蝶	虫世一丨丶丶
蛑	虫厶ノ一丨丨
螺	虫田ㄋㄋ丶丶
蛙	虫圭一丨一一
蛴	虫文ノ丨丨丨
螵	虫覀一一丶丶
蝠	虫同丨ㄋ一一
螋	虫臼丨ㄋ丶丶
蛏	虫又一丨一一
蠕	虫雨一ノ丨丨
蝎	虫曷丨ㄋㄋㄋ
蜉	虫爫ㄋ丨一一
蜂	虫夂一一丨丨
蜢	虫子丨ㄋ一一
螅	虫自丶ㄋ丶丶
蛹	虫甬ㄋ丶丨丨
蜡	虫昔一丨一一
蚪	虫⺀一丨丨丨
蚌	虫丰一一丨丨
蚨	虫夫一一丶丶
蚶	虫甘一丨一一
虹	虫工一丨一一
蜾	虫日一丨丶丶
虮	虫几ノㄋㄋㄋ
蛱	虫夹ノ丶丶丶
蟀	虫玄丶一丨丨
蚂	虫马ㄋㄋ一一
蚝	虫毛ノ一ㄋㄋ
蚋	虫内丨ㄋ丶丶
蛆	虫且丨ㄋ一一
蚯	虫丘ノ丨一一
蛐	虫曲丨ㄋ一一
蚺	虫冉丨ㄋ一一
蚊	虫文丶一丶丶
蛾	虫我ノ一丶丶
虾	虫下一丨丶丶
蚜	虫牙一ㄋノノ
蛘	虫羊丶ノ丨丨
虬	虫乚ㄋㄋㄋㄋ
蚰	虫由丨ㄋ一一
蚱	虫乍ノ一一一
蝾	虫劳一丨丶丶
蛊	虫皿丨ㄋ一一
蠋	虫罒ノㄋ丶丶
蟫	虫覀丨ㄋ丨丨
蝘	虫匚丨ㄋ一一
蜎	虫口丨ㄋ一一
蜐	虫去ㄋノノノ
螠	虫䒑ノ丶一一
蚄	虫方丶一ノノ
虸	虫子ㄋ丨一一
虷	虫干一一丨丨
丑	丑ㄋ丨一一
亍	亍一一丨丨
州	川丶丶丶丶
川	川ノ丨丨丨
顺	川页一ノ丶丶
巡	巛辶丶ㄋ丶丶
剿	巛日一丨丨丨
邋	巛囗ノ丶丶丶
邕	巛口ㄋ丨ㄋㄋ
巢	巛日一丨丶丶
甾	巛田丨ㄋ一一
垂	垂ノ一一一
过	寸辶丶ㄋ丶丶
寸	寸一丨丶丶
达	大辶丶ㄋ丶丶
太	大丶丶丶丶丶
态	大丶丶ㄋ丶丶
大	大一ノ丶丶
爽	大爻ノ丶丶丶
夷	大弓ㄋ一ㄋㄋ
欹	大可ノㄋ丶丶
剞	大可丨丨丨丨
匏	大亏ノㄋㄋㄋ
刳	大亏丨丨丨丨
瓠	大亏ノノ丶丶
鹌	大日ㄋノ一一
奁	大区一ノㄋㄋ
奇	大可一丨丨丨
奢	大者一丨一一
夸	大亏一一ㄋㄋ
奔	大十一ノ丨丨
奎	大圭一丨一一
套	大镸一丨丶丶
夼	大川ノ丨丨丨
夺	大寸一丨丶丶
奄	大日ㄋㄋㄋㄋ
耷	大耳一丨一一
夯	大力ㄋノノノ
牵	大冖ノ一丨丨
奈	大示一一丶丶
奋	大田丨ㄋ一一
奓	大夕ノㄋ丶丶
死	歹匕ノㄋㄋㄋ
裂	歹刂丶一丶丶
烈	歹刂丶丶丶丶
歹	歹一ノ丶丶
殊	歹丿一一丶丶
殉	歹勹丨ㄋ一一
殡	歹宀ノ丨丶丶
殓	歹佥ノ丶一一
殇	歹ㄋノノノ
殚	歹单丶ノ丨丨
殁	歹殳ノㄋ丶丶
殒	歹口丨ㄋ丶丶
殄	歹㐱ノ丶ノノ
殖	歹直一丨一一
殪	歹壳一丨一一
殆	歹台ㄋ丶一一
殍	歹爫ㄋ丨一一
列	歹刂丨丨丨丨
殛	歹了丨ㄋ一一
残	歹戋一一丶丶
歼	歹千ノ一丨丨
殂	歹且丨ㄋ一一
殃	歹央丨ㄋ丶丶
餮	歹㐱ノ丶丶丶
佞	亻二ㄋノ一一
您	亻尔丶ㄋ丶丶
煲	华口丶ノ丶丶
堡	华口一丨一一
赁	亻壬丨ㄋ丶丶
凭	亻壬ノㄋㄋㄋ
恁	亻壬丶ㄋ丶丶
货	亻七丨ㄋ丶丶
华	华七ノㄋㄋㄋ
垡	亻戈一丨一一
贷	代贝丨ㄋ丶丶
袋	代衣丶一丶丶
黛	代黑丨ㄋ丶丶
牮	代牛ノ一丨丨
岱	代山丨ㄋ丨丨
佧	亻上丨丶丶丶
鸺	亻木ノㄋ一一
攸	攸攵ノ一丶丶
侯	亻ノ一丶丶
偃	亻匚丨ㄋ一一
伛	亻区一ノㄋㄋ
佬	亻耂ノㄋㄋㄋ
侧	亻贝丨丨丨丨
倒	亻至丨丨丨丨
僦	亻京一ノ丶丶
傲	亻敖一一丶丶
儆	亻芍ノㄋ丶丶
僻	亻辟ㄋ一丨丨
做	亻古ノ一丶丶
仰	亻ㄋ丨丨丨
仳	亻比一ㄋㄋㄋ
倾	亻一ノ丶丶
例	亻歹丨丨丨丨
俐	亻禾丨丨丨丨
伽	亻加ㄋノ一一
佚	亻丿一一丶丶
侏	亻丿一一丶丶
候	攸ノ一丶丶
倏	攸夂一ノ丶丶
储	亻讠一丨一一
傩	亻又ノ丨一一
伺	亻丨ㄋ一一
何	亻可一丨丨丨
佝	亻句ノㄋ一一
仞	亻刀丶丶丶丶
健	亻聿ㄋ丶丶丶
佩	亻几一丨丨丨
倜	亻冂一丨一一
侗	亻冂丨ㄋ一一
儋	亻厃ノ丶一一
俦	亻一丨丶丶
佐	亻一丨一一
俯	亻广ノ丨丶丶
偏	亻户丨ㄋ丨丨
佑	亻丨ㄋ一一
倨	亻尸一丨一一
伲	亻尸ノㄋㄋㄋ
倔	亻尸ㄋ丨丨丨
仪	亻丶ノ丶丶丶
俾	亻卑ノ丨丨丨
你	亻尔ノㄋ丶丶
俱	亻ノ丶丶丶
俗	亻谷ノ丶一一
侥	亻尧一ㄋㄋㄋ
侄	亻至一ㄋ一一
傺	亻祭ノㄋ丶丶
偕	亻比ノ丨一一
僭	亻旡一ㄋ一一
傻	亻囟ノ丶丶丶
倥	亻穴一丨一一
傍	亻帝丶一ノノ
停	亻亮一丨丨丨
偿	亻丶ㄋ丶丶
傥	亻ノㄋㄋㄋ
伶	亻令ノ丶丶丶
傧	亻宀ノ丨丶丶
佗	亻宀ノㄋㄋㄋ
伫	亻㝉丶丶一一
倌	亻宀丨ㄋ一一
依	亻衣丶一丶丶
佼	亻交丶一丶丶
伉	亻亠ノㄋㄋㄋ
侩	亻人一一丶丶
侨	亻夭ノ丨丨丨
偾	亻十一丨丶丶
僖	亻壴丨ㄋ一一
偷	亻俞ノ丶丨丨
俭	亻佥ノ丶一一
僵	亻一丨ㄋ一一
僚	亻尞一ノ丶丶
价	亻人ノ丨丨丨
伤	亻ㄋノノノ
侮	亻每ノ一丶丶
仵	亻一丨丨丨
仡	亻ㄋㄋㄋㄋ
像	亻象ノㄋ丶丶
俏	亻肖丨丶一一
倘	亻尚丨丶一一
倩	亻青一一一一
俸	亻一一丨丨
傣	亻丨丶丶丶
倦	亻ㄋㄋㄋㄋ
佾	亻八丨ㄋ一一
份	亻分ノ丶ノノ
僧	亻曾丶ノ一一
伦	亻人ノㄋㄋㄋ
侦	亻⺊丨ㄋ丶丶
倬	亻卓丨一丨丨
偌	亻艹一ノ一一
偬	亻勿丶丶丶丶
倚	亻大一丨丨丨
侉	亻大一一ㄋㄋ
俺	亻大丨ㄋㄋㄋ
住	亻主丶一一一
傅	亻甫一丨丶丶
倭	亻禾ㄋノ一一
侵	亻彐丶ㄋ丶丶
倪	亻臼ノㄋㄋㄋ
俣	亻口一一丶丶
侃	亻口ノ丨ㄋㄋ
侣	亻口丨ㄋ一一
保	华口丨ㄋ一一
促	亻足丨ㄋ丶丶
僮	亻立丨ㄋ一一
